Time,CO,C6H6,T,RH,NOx
3,-200,8.7,22.8,56.1,102
4,-200,8.7,21.9,60.9,89
5,-200,6.9,21.7,61,62
6,-200,7.3,20.8,64.8,69
7,-200,6.9,20.3,70.9,63
8,-200,4.6,18.9,79,31
9,-200,1.3,18.1,64.6,-200
10,-200,1.7,18.6,64.5,17
11,-200,3.2,17.6,67.4,61
12,-200,10.1,17.6,67.6,184
13,-200,19.9,19,61.7,248
14,-200,20.2,20,57.4,220
15,-200,20.8,22.6,45.9,243
16,-200,15.1,27.3,34.3,164
17,-200,10.9,27.4,31,-200
18,-200,11.1,26.2,33.6,-200
19,-200,12.1,26.8,32.4,-200
20,-200,8.6,28.7,27.7,-200
21,-200,9.7,28.7,25,-200
22,-200,11,29.1,22.3,-200
23,-200,16.6,29,24.5,-200
0,-200,14.7,27.2,28.3,-200
1,-200,19.5,25.3,30,-200
2,-200,14.5,24.1,34.8,-200
3,-200,7.8,23,43.1,-200
4,-200,7.8,22.1,43.9,-200
5,-200,7.8,21,48.1,-200
6,-200,8.5,20.6,49.2,-200
7,-200,5.7,21.2,47.6,-200
8,-200,4.5,21,50.1,-200
9,-200,5.6,20.1,53.1,-200
10,-200,4.6,19,54,-200
11,-200,1.2,19.2,51.1,-200
12,-200,3.4,19.2,53.1,-200
13,-200,17,20.6,49,-200
14,-200,10,21.8,41.9,-200
15,-200,6,22.8,37.6,-200
16,-200,5.7,24.8,31.3,-200
17,-200,6.9,26,29.4,-200
18,-200,9.5,27,27.8,-200
19,-200,11.1,27,29.3,-200
20,-200,8.1,27,29.6,-200
21,-200,10.2,25.8,32.6,-200
22,2.7,13.3,26.2,32.6,-200
23,3.6,16.6,28.3,27.5,-200
0,3.3,16.9,26.5,29.7,-200
1,3.6,17.5,25.7,31.8,-200
2,2.9,13.1,24.4,35.2,-200
3,1.9,9.2,23.5,36.9,-200
4,2,10,22.4,41,-200
5,2.9,13.1,21.7,44.7,-200
6,2.7,12.9,21.1,48.1,-200
7,1.5,7.8,20.7,50,-200
8,1.6,9.2,19.8,53.1,-200
9,1.3,6.9,19.8,53.6,-200
10,0.7,4.5,19.6,54.8,37
11,0.7,4.9,19.3,57.3,57
12,1.2,7.9,19.7,58.4,131
13,1.5,7.4,19.8,59.4,171
14,1.5,8,20.9,54.8,187
15,1.6,7.6,22.4,47.9,133
16,1.1,5.3,24.1,41.3,87
17,1.1,5.3,25.9,36.9,61
18,1.4,8,30.7,26,86
19,1.4,8.4,30.3,25.2,83
20,1,6,30.1,25.4,61
21,1.3,7.3,27.6,35.1,80
22,1.9,10.2,26.6,47.6,110
23,1.7,9,30.4,31.3,108
0,2.3,14,27.8,35,134
1,2.4,16.1,26.6,37.9,133
2,1.8,8.2,23.4,44.4,118
3,0.6,3.8,23,51.1,17
4,0.8,5.6,22.1,53.5,26
5,1.7,8,21.6,53.6,55
6,1.1,5.6,21.9,52.7,39
7,0.6,3.8,21.3,54.9,15
8,1.1,6.6,17.5,79.1,47
9,1.1,7,17.6,78.6,-200
10,1,5.2,17.1,81.8,49
11,0.5,2.4,16.6,80.2,21
12,0.7,3.1,16.8,77.4,33
13,1,5.2,18.3,66.5,63
14,1.2,5.9,20.4,55.8,73
15,0.7,2.8,21.6,45.3,51
16,0.9,3.4,23.1,39.4,61
17,0.8,3,25.4,31.6,52
18,0.8,3.4,26.6,29,49
19,0.5,2.3,25.9,28.8,40
20,0.5,2.7,27,28,36
21,0.7,3.6,23.6,38.1,51
22,0.9,4.2,25.9,32,56
23,1,4.9,26.3,31.5,71
0,1.2,5.9,23.9,36.8,79
1,1.3,6.6,23.7,36.8,117
2,1.6,7.6,22.5,37.8,127
3,1.4,7,21.8,39.2,118
4,1.7,7.5,20.9,42.6,130
5,1.7,8.4,20,45.6,131
6,1.4,7,19.3,47.9,102
7,0.8,3.9,18.7,49,48
8,0.4,2.6,17.8,54.1,22
9,0.3,2,18.6,52.7,-200
10,-200,2.1,17.2,57.9,22
11,0.5,2.4,18.2,54.1,44
12,1.5,9.6,17.3,57.6,167
13,2.6,15.4,19.9,49.4,220
14,4.3,25,21.7,44.2,285
15,3.1,15.1,23.5,40,272
16,2.9,17.4,28.4,29.7,238
17,2.5,14.1,31.6,24.1,207
18,1.9,11.8,31.3,24.1,152
19,2.5,14.9,34.4,20.4,185
20,2.5,16,33.7,21.3,184
21,2.8,16.5,35.9,18.9,205
22,2.3,15.2,34.3,19.4,172
23,3.3,18.9,33.5,19.9,227
0,2.8,19,30.5,24.2,187
1,4.8,28.9,30.3,26.2,290
2,2.5,13.4,27,36.7,155
3,2,10.9,24.6,41.9,108
4,1.8,8.9,23.3,44.5,94
5,1.7,8.5,22.4,46.9,103
6,1.3,6.7,21.7,50.8,78
7,0.7,4.2,21,51.9,38
8,0.5,2.5,20.5,54.3,26
9,0.4,1.7,20.9,52.5,-200
10,0.3,1.4,21,53.1,19
11,0.5,2.8,19.6,57.1,35
12,1.4,8.8,18.2,62.3,126
13,3.3,19.4,19.5,57.7,309
14,5.8,36.1,21.6,51.7,376
15,5,27.1,23.9,44.4,441
16,3.5,19,28.1,35.2,309
17,2.9,16.9,31.4,28.6,220
18,2.5,15.7,33.7,25.5,168
19,2.3,14.1,35.9,20.8,149
20,2.4,16.5,37.5,18.1,160
21,2.6,14.8,37.7,17.7,177
22,2.2,13,37.8,17.4,-200
23,3.5,21.4,36.6,20.6,176
0,3.9,23.6,32.5,26,202
1,4.5,25,30.8,27.2,255
2,3.8,21.6,28.8,30.2,210
3,2.8,15.7,26.7,35.4,157
4,1.7,10.9,25.3,40.7,96
5,1.2,8.1,24.9,41.2,59
6,1.6,10.2,23.7,45.1,81
7,1,7.5,22.5,49,40
8,0.9,5.8,22.3,50.6,42
9,0.5,3.8,22,50.5,-200
10,0.5,3.3,20.8,54.4,31
11,0.5,4,20.3,56,54
12,1,8.1,20.5,54.8,88
13,3.5,22.3,21.7,50.6,261
14,6.4,36.9,23.4,46.1,357
15,2.9,17.5,25.1,43,265
16,3.4,19.3,30.1,32.8,247
17,2.8,17.6,34.7,25.9,189
18,2.8,18.6,37.2,23.2,168
19,2.8,18,39.5,18.3,183
20,2.3,14,40.6,15.3,157
21,1.8,10.9,40.3,16.1,113
22,2,11.1,40.3,14.2,140
23,3.5,21.6,39.6,16.7,230
0,4.9,27.6,37.3,23.4,277
1,4.6,25.6,33.7,27.7,295
2,3.4,18.6,30.7,32.2,212
3,2.7,15.2,28.4,35.7,151
4,1.9,11.7,26.5,38.6,110
5,1.5,8.7,25.4,40.1,83
6,1,7.6,24.1,43.3,48
7,0.7,5.2,23.9,45.6,27
8,1,5.9,22,52.8,48
9,0.6,4,20.7,56.1,-200
10,-200,3.3,20.1,57.3,33
11,0.9,5.4,19.5,59.4,75
12,1.2,8.7,20,56.6,101
13,2.9,19.9,21.7,53.9,214
14,4.8,30.4,23.7,49,290
15,4.3,24.6,25.9,44.3,311
16,3.1,16.9,30.1,34.3,234
17,2.4,13.6,33.5,27.2,157
18,2.8,15.3,35.4,26.1,165
19,2.5,14.1,37.9,23.2,137
20,2.6,17,39.7,18.7,149
21,2.3,13.8,40.4,17.2,140
22,2.4,13.6,40,18.8,139
23,3.5,21.2,38.9,18.8,221
0,4.8,25.9,35.8,22.1,318
1,5.1,25.4,33.1,25.9,363
2,4.7,23.6,30.9,28.2,341
3,2.4,12,27.5,32.6,163
4,2.5,14.2,26.3,34.3,157
5,2.7,14.2,25.5,34.1,202
6,1.5,10.4,24.7,39.3,102
7,1.1,7.5,24.2,39.5,70
8,0.6,3.5,24.8,37.8,41
9,0.5,2.5,22.7,43.8,-200
10,0.4,2.6,22,44.3,36
11,0.6,4,19.3,51.4,68
12,1,7,19.8,50.4,92
13,4.6,24.8,20.5,48.2,332
14,4.8,28.9,22.8,42.7,333
15,4,21.5,25.6,35.8,298
16,-200,12.9,30,27.5,-200
17,2,12.2,34.4,21,146
18,2,13.1,35.9,19.6,120
19,2,13.3,37.2,18.2,108
20,1.9,12.5,37.3,16.6,109
21,1.9,13,37.4,14.9,124
22,1.9,12.3,36.4,15.1,127
23,2.6,15.2,35.4,14.7,185
0,3.2,19.1,34.2,14.2,230
1,3.4,19.7,31.1,18.7,265
2,3.4,18.6,29.1,22,261
3,2.9,16.1,27.2,22.5,219
4,2.7,15,25.3,24.6,180
5,1.3,7.3,24.9,27.2,108
6,1.3,8.9,23.5,32.2,98
7,0.9,6.6,23.5,32.7,57
8,0.6,4.3,24.1,32,36
9,0.5,3.2,22.6,34.8,-200
10,0.5,4.1,20.8,40.2,45
11,0.9,6,18.8,46.6,87
12,0.7,5.6,19.8,46,62
13,0.6,4.8,21.3,42.3,65
14,1.3,8.9,21.3,41.8,125
15,1.9,13.1,24,36.6,157
16,2.1,14.1,27.2,30.7,171
17,1.8,11.2,32.3,23.6,119
18,1.8,10,31.9,25.8,110
19,1.6,9.6,35.1,21.8,95
20,1.2,7.2,36,20.5,58
21,1.2,8.6,37,20.1,69
22,1.4,9,36.4,21,76
23,1.3,7.9,35.2,22.6,63
0,1.1,6.2,32.5,27.6,51
1,1.1,6.3,29.1,35.1,46
2,1.1,6.3,26.9,39.7,52
3,1.8,11.2,26.1,42.2,84
4,2.3,12.8,25.5,43.8,130
5,2.6,13.2,24.9,45.6,147
6,2,9.2,25.2,45.2,126
7,1,5.8,25.4,45.5,47
8,0.6,3.4,26.2,43.6,24
9,0.6,4.1,24.3,48.2,-200
10,0.5,3.1,24.4,48.3,25
11,0.4,2.2,23.3,51,21
12,0.4,1.5,21.6,48.1,25
13,0.4,1.3,21.4,47.8,25
14,0.4,1.2,20.5,46.8,30
15,0.5,1.7,20.8,40.7,42
16,0.6,2.5,22.3,35.3,52
17,0.7,2.5,21.7,38.3,62
18,0.7,2.7,24.4,29.6,67
19,0.6,1.9,23.4,34.9,47
20,0.5,1.8,23.5,35.2,35
21,0.6,2.4,22.4,39,45
22,0.8,2.6,22,41.7,53
23,0.8,3,21.7,42.7,57
0,1,2.9,20.7,43.4,71
1,1,3.5,20.3,42.6,67
2,1,3.6,20.3,44.1,75
3,0.9,3.6,20.1,45.2,65
4,0.7,2.3,19.8,45.7,45
5,0.8,2.6,19.6,45.3,46
6,0.7,2,19.4,45.9,33
7,0.5,1.2,19.7,44.8,19
8,0.3,0.7,19.5,46.3,9
9,0.3,0.5,19,49,-200
10,-200,0.5,19.1,50.7,12
11,0.3,0.8,19.1,52.7,21
12,0.7,3.5,20.3,49.3,66
13,1.5,7,21.1,46.2,137
14,1.8,8.7,21.5,44.5,151
15,1.4,6.3,22.4,43.6,115
16,1.5,7,24.8,39.1,118
17,1.2,5.5,23.9,42.1,95
18,1.2,5.3,25.5,38.3,86
19,1.3,5.5,25.4,39.2,85
20,1,3.8,25.6,37,66
21,1.4,5.4,24.5,38.4,74
22,1.6,6.7,23.9,39.9,108
23,2.7,12.2,24.2,39.2,150
0,2.3,10.2,23.5,41.2,157
1,1.5,6.7,22.3,44.9,93
2,1.4,5.7,21.7,46.5,76
3,1,4.1,22,44.9,57
4,1.1,4.7,22.2,44.1,64
5,1.2,5.2,21.8,45.6,59
6,1.2,5.1,21.6,46,68
7,0.7,2.8,21.6,45.8,31
8,0.5,1.4,20.7,48.3,21
9,0.4,1,21,47.1,-200
10,0.4,2,20.8,48.5,24
11,0.5,3,20.8,49.4,38
12,1,7.5,19.9,51.8,92
13,4.4,24.7,20.9,49.3,311
14,4,24.8,23.7,39.9,260
15,2.4,10.9,25.3,35.8,181
16,2.1,11.9,28.8,29.1,177
17,2.7,16,30.3,26.9,180
18,2.8,15.7,32.8,23.3,174
19,2.3,13.1,33.9,21.4,140
20,2,12.2,35.3,19.6,122
21,2.6,15.8,34,20.8,189
22,2.7,16.6,35.3,18.8,169
23,3.1,18.4,32.6,24.1,172
0,3.1,16.7,30.8,28.7,154
1,3.6,20.8,28.7,31.2,192
2,2.9,15.3,26.8,35.1,160
3,2.2,11.5,25.3,39.4,110
4,2,10.1,23.9,40.9,97
5,2.1,10.4,23,44.4,124
6,1.9,9.4,22.2,53.9,108
7,1.4,6.9,20.9,59.8,61
8,0.8,4,21.3,58.1,34
9,0.6,3,20.8,58.4,-200
10,0.6,2.6,20.3,58.9,24
11,0.5,2.4,21.3,54.5,27
12,1,6.8,20.6,57.4,70
13,2.7,18.9,21.3,56.9,176
14,5,30.2,22.9,52.4,310
15,3.3,14.9,24.1,46.5,221
16,2.4,12.2,27.1,38.8,168
17,1.7,8.3,28.4,34.4,109
18,1.7,9,30.1,30.9,102
19,2.4,13.7,32.7,25.8,129
20,2.2,14.1,32.4,25.7,117
21,2.2,12,33.6,24.4,112
22,2.3,12.2,33,26,122
23,2.6,13.1,33.2,23.7,114
0,2.3,12.6,31.3,25.4,111
1,3.3,18.3,28.3,31.7,158
2,3.5,17.2,26.5,35,202
3,2.5,12.9,24.4,40,166
4,2.5,13.7,23.3,43.4,143
5,2.4,13.4,22.5,45.3,122
6,2.5,13.5,21.8,47.8,113
7,2.1,9.9,20.9,51,109
8,1,4.4,20.8,51.7,53
9,0.8,4.3,19.3,57.1,-200
10,-200,3.3,18.8,58.6,32
11,0.5,3.4,20.2,53.8,35
12,1.3,9.3,18.3,60.8,123
13,3.6,23.4,20.2,54.5,254
14,4.8,27.7,21.9,49.9,300
15,3.7,22.1,25.2,43,281
16,1.9,10,28,36.6,169
17,1.7,8.9,27.1,38.3,152
18,1.9,9.8,27.4,37,127
19,1.8,9.4,29.4,32.9,118
20,1.7,9.8,31.3,28.7,120
21,1.8,9.5,31.5,28.7,125
22,1.7,9.5,30.9,30.3,117
23,2.8,15.4,31.4,30.3,166
0,3.6,19.4,30.7,31.4,180
1,3.3,16.5,29,33.4,172
2,2.9,14.3,27.3,37.5,160
3,1.7,8.2,25.8,40.9,103
4,1.7,8.7,25.2,43,87
5,2.8,15.2,24.6,45.8,147
6,1.8,10.6,24,47.3,120
7,1,6,23.5,48.3,63
8,0.5,3.1,24,45.8,30
9,0.4,2.5,22.2,50.7,-200
10,0.3,1.8,22.8,48.1,19
11,0.4,2.6,21.9,50.1,27
12,0.8,6.5,20.4,54.1,65
13,2.2,14.5,20.8,52.6,169
14,4.4,28.8,22.8,47.9,244
15,3.7,21.3,25.2,42.9,274
16,2.5,14.9,29.3,34.8,202
17,2.5,15.6,33.3,27.8,186
18,2.3,14.3,34.9,24.9,153
19,2,12.6,36.1,22.7,112
20,2,13.4,37.6,21.1,117
21,2.1,12.6,37.3,21.9,109
22,2.4,14.8,37.2,21.6,133
23,3.1,18.6,35.6,23.4,185
0,2.9,16.7,33.1,24.3,167
1,3.5,20.8,30.5,29.5,218
2,2.9,16,28.7,35.8,171
3,1.5,7.6,26.6,42.2,78
4,1.7,10.2,25.2,46.6,84
5,2.2,13.8,24.7,47.7,110
6,1.6,10.4,24.4,47.4,87
7,1,6.5,23.3,49.9,58
8,0.6,4.3,23.8,47.3,39
9,0.6,3.4,22.9,50.2,-200
10,0.6,3.9,21.2,55,38
11,0.5,3,21.7,52.6,41
12,0.5,3.2,22.8,48.9,47
13,0.9,5.6,23.5,47.6,72
14,1.4,9.1,24.6,44.9,100
15,1.6,9.7,27,39.9,104
16,1.6,8.6,29.3,35.9,109
17,1.7,9.6,31.2,32.4,103
18,1.7,9.8,34.4,26.6,75
19,1.5,10.3,36.1,22.1,72
20,1.2,-200,-200,-200,56
21,1.2,-200,-200,-200,51
22,1.1,-200,-200,-200,52
23,1,-200,-200,-200,46
0,1.1,-200,-200,-200,44
1,1.6,-200,-200,-200,72
2,1.7,-200,-200,-200,88
3,1.4,-200,-200,-200,56
4,1.7,-200,-200,-200,82
5,2.4,-200,-200,-200,125
6,2.3,-200,-200,-200,144
7,1.2,-200,-200,-200,54
8,1,-200,-200,-200,48
9,1.4,-200,-200,-200,-200
10,-200,-200,-200,-200,41
11,1,-200,-200,-200,40
12,0.9,-200,-200,-200,48
13,0.8,-200,-200,-200,44
14,1,-200,-200,-200,59
15,1.2,-200,-200,-200,59
16,1.2,-200,-200,-200,53
17,1,-200,-200,-200,42
18,1,-200,-200,-200,43
19,0.6,-200,-200,-200,23
20,0.7,-200,-200,-200,22
21,0.8,-200,-200,-200,37
22,1.1,-200,-200,-200,53
23,1.4,-200,-200,-200,68
0,2.8,-200,-200,-200,125
1,2.5,-200,-200,-200,96
2,1.6,-200,-200,-200,75
3,1.4,-200,-200,-200,74
4,2.3,-200,-200,-200,92
5,4.2,-200,-200,-200,136
6,3,-200,-200,-200,119
7,2.2,-200,-200,-200,76
8,0.6,-200,-200,-200,21
9,0.3,-200,-200,-200,-200
10,0.3,1.5,18.9,55.2,15
11,0.5,3.5,18.2,57.6,52
12,1.3,8.3,18.6,56,85
13,2.5,17.3,20.8,48,177
14,3.7,23.3,23.3,38.6,232
15,2.5,13.8,25.1,32.4,201
16,1.8,10.2,27.8,25.8,134
17,1.5,7.9,29.6,21,104
18,1.5,8.8,30.2,18,89
19,1.2,7.2,30.1,18.5,66
20,1.4,8.3,29.5,19.4,85
21,1.6,9.6,31.1,18.2,105
22,1.6,9,30.3,19,99
23,2.2,12.4,30.1,19.3,132
0,3,15.3,28.6,22.3,186
1,3,16.1,26.1,28.3,174
2,2.7,14.1,24.5,35.7,149
3,2.1,11.4,23.1,41.5,114
4,1.6,9.5,21.8,46.3,92
5,1.3,7.4,20.9,48.9,75
6,1.1,6.4,20.5,49.9,74
7,0.7,4.1,20,50.9,35
8,0.4,1.9,22.1,44.3,22
9,0.2,1.4,21,47.5,-200
10,0.2,1.2,19.8,50.3,24
11,0.3,2.2,19,52.8,30
12,0.9,6.4,17.8,56.5,93
13,3.1,18.5,18.2,55.8,332
14,5,30.2,20.6,47.7,387
15,2.8,14.2,22.8,41.9,267
16,2.8,14.3,27.1,31.7,269
17,2.1,12.6,30.4,26.4,193
18,3.1,18,31.1,26.2,239
19,3,17.1,31.4,25.3,232
20,2.1,13,30.8,26.7,152
21,1.7,11.2,31.8,25.6,115
22,2.2,13.6,33.5,22.9,169
23,3.5,20.5,33.1,23.5,226
0,3.6,20.2,31.7,25.9,218
1,4.1,23.1,29,30.4,245
2,4,20.3,27.4,33.6,236
3,1.8,9.3,25.2,36.4,104
4,1.7,10.5,24,39.6,104
5,2.4,13.6,23.8,39.6,144
6,1.2,8,22.9,43.6,79
7,0.8,4.6,22.8,43.9,51
8,0.5,3.2,21.8,47.3,38
9,0.3,2.4,21.7,47.3,-200
10,-200,2.1,20.8,50.3,24
11,0.4,2.2,21.7,46.8,30
12,1,6.7,20.3,52.3,73
13,3.8,23.1,20.5,52.3,305
14,3.2,19,21.7,49.6,295
15,3.5,20.1,24,43.1,331
16,3.2,16.4,28.5,31.7,304
17,2.3,13,32.2,25.1,210
18,2.2,13.1,34.9,20.5,163
19,2.1,11.8,35.4,19.9,132
20,1.9,12.7,34.4,22.5,126
21,2.4,14.1,34.8,22.8,150
22,2.5,14.4,34.3,22.4,171
23,3.6,20.7,32.5,25.3,234
0,3.9,21.6,31.3,27.3,251
1,4.4,24.2,30.2,29,294
2,4.8,21.8,28.5,33.3,300
3,2.5,13,27.3,35.3,159
4,2.8,15.1,26.1,37.8,176
5,3.2,16.6,24.7,47.1,192
6,2.6,12.7,23.6,59.8,152
7,1.5,8.6,23.3,60.5,63
8,1,5.3,23.3,59.4,35
9,0.8,3.6,22.9,57.7,-200
10,0.6,2.8,23.7,53.5,21
11,0.6,3.1,21.2,60.9,41
12,0.7,3.7,22.1,56.2,48
13,1.2,6.9,21.9,57,102
14,1.5,8.6,24.7,45.9,111
15,1.3,7.1,27,40.8,93
16,1.6,6.6,29.1,37.4,118
17,1.5,7.2,31.1,32.4,93
18,1.2,5,31.9,30.3,56
19,1.1,5.7,32.8,28.9,51
20,1.2,6,33.4,27.8,52
21,1.3,6.1,35.3,23.7,59
22,1.4,8,35.8,22.4,62
23,1.6,7.8,35.3,20.8,85
0,2.1,11.1,33.3,23.9,109
1,3,15.9,30.3,30.8,168
2,2.8,13.7,28.3,34.5,166
3,3.8,21.6,27.1,38.9,149
4,3.2,16.8,25.4,43.2,118
5,4.1,20.5,24.6,45.3,160
6,2.6,14.1,23.7,46,124
7,2,10.9,23,48.1,95
8,0.9,3.6,24.8,43.4,34
9,0.7,3.3,23.1,47.4,-200
10,0.6,2.4,21.7,50.2,45
11,0.6,3,21.9,50.7,35
12,1.6,8.9,20.1,57,141
13,2.6,14.8,21.5,51.8,199
14,2.9,16.2,22.9,48.7,224
15,2.8,14.6,25.7,41,245
16,1.9,8,29.9,33.2,153
17,1.9,9.1,32.9,28,145
18,2.1,10,34,25.6,130
19,1.9,9.8,34.7,22.6,95
20,1.6,8.3,35.5,20.3,88
21,1.6,7.5,35.9,18.8,89
22,2.1,11.7,36.2,18.6,127
23,2.4,13.3,35.4,15.3,149
0,2.8,14.4,32.9,15.5,170
1,3.4,17.9,29.9,19.8,210
2,3.4,15.9,28.1,22.4,230
3,2.7,14.2,26.1,24.7,203
4,2.6,13.8,25,28.7,174
5,2.3,11.7,24.3,31,164
6,1.2,6.2,24,31.2,76
7,1,5.1,22.4,34.9,52
8,0.9,4.5,21.2,37.6,47
9,1.1,4.9,19.5,42.3,-200
10,-200,2.5,21.2,39.4,37
11,0.4,2.3,19.5,42.4,41
12,0.9,5.5,18.6,45.8,74
13,1.8,10.4,19.7,44.1,168
14,2.2,12.4,21.9,39.4,176
15,2.4,14,24.5,34.3,184
16,2.3,12.7,30,25.6,187
17,1.6,9,34.5,18.9,118
18,1.4,8.5,36.3,17.5,89
19,1.4,8.2,37.7,16,70
20,1,5.9,38.3,15.8,51
21,1,5.6,38.4,17.5,52
22,1.2,6.7,37.2,20.5,70
23,1.3,6.1,34,26.4,80
0,1.5,6.7,32.3,30.4,90
1,1.9,9.2,30.5,33.9,111
2,1.8,8.2,29.2,37.8,107
3,1.4,7,28.4,39.1,73
4,1.7,9.5,27.7,40.6,75
5,2.7,15.1,27.2,42.5,144
6,2.1,11.7,26.5,44.8,120
7,1.4,9.3,25.5,47.6,71
8,1,6.4,25.2,47.8,40
9,1,6.7,23.2,53.7,-200
10,0.8,4.2,23.2,52.3,34
11,0.5,2.6,24,50.3,27
12,0.6,2.8,23.5,51.2,30
13,0.6,3.1,23.5,50.8,40
14,1,6.2,24.7,47.6,56
15,1.6,7.9,27.2,41.1,104
16,1.9,10.5,31,32.4,121
17,1.7,9,35.2,24.8,100
18,1.1,6.3,37.8,18.5,59
19,0.8,3.5,39,15.1,42
20,0.7,4,41.3,12.8,38
21,0.7,4.2,41.8,11.9,40
22,1.2,6.9,42.2,14.2,70
23,1.6,7.9,41.4,15.5,95
0,1.6,7.9,38.9,21.4,90
1,1.7,10.3,34.3,26,90
2,2,10.5,32.7,27.7,111
3,2.3,12.7,30.5,30.4,135
4,2.4,11.9,29,33.6,146
5,1.7,9.3,28.2,36.6,100
6,1.2,7.9,27.2,38.9,69
7,1,5,26.7,40,47
8,0.6,3.4,26,41.2,26
9,0.5,3.2,22.8,50.1,-200
10,0.4,2.7,24,46.6,24
11,0.5,3.1,24,46.4,55
12,0.7,5,23.7,47.1,47
13,3.2,20.7,23.6,47.3,209
14,5.6,32.4,25.5,43.1,348
15,4.6,24.2,28.5,36.8,337
16,3.3,16.6,32.6,28,280
17,2.1,13.2,36.3,23.4,169
18,1.9,12.3,37.5,21.5,126
19,1.9,12.1,39.6,19,108
20,1.6,11.1,40.1,19.3,93
21,2,13.1,40.4,20,112
22,1.8,11.6,39.9,20.1,110
23,2.9,17.7,39.1,19.6,188
0,3.4,19.5,37,21.9,203
1,3.1,19.7,33.9,26.8,167
2,2.5,15.1,31.9,30.6,116
3,1.8,11.1,29.7,33.9,89
4,1.8,11.7,28.6,36.8,103
5,2,11.7,27.8,38.7,100
6,1.5,9.7,27.8,40,86
7,0.8,6,27.5,41.3,52
8,0.4,3.9,27.3,41.6,27
9,0.3,2.6,26,44.2,-200
10,-200,2.8,24.8,48,35
11,0.5,3,25.9,45.1,42
12,0.7,5.4,25.3,47.6,57
13,3.4,23.5,24.7,49.5,228
14,5.7,33.5,27.1,43.1,350
15,3.2,15.5,28.3,39.8,232
16,2.7,15.3,32.4,32.3,206
17,2.1,12.8,35.4,27.8,159
18,2.8,15.2,35.5,27.4,184
19,2.5,15.7,37.8,24.4,136
20,2.1,12.3,37.2,25.5,124
21,2.5,15.3,37.2,25.6,133
22,2.7,17.6,38,25,156
23,3.7,21.5,37.1,26.9,200
0,3.7,23.2,36.9,27.8,202
1,4.6,25.6,34.7,31.9,286
2,2.6,14.3,31.9,38.4,141
3,2.5,14.4,30.5,42.3,117
4,2.3,12.6,29.3,45.8,110
5,2.2,13.7,28.2,48.1,100
6,2.5,13.1,27.3,51,112
7,0.9,6.1,26.8,52.4,35
8,0.8,5.8,26,54.9,33
9,0.7,3.7,26.8,51.9,-200
10,0.5,2.6,26.9,51.8,28
11,0.7,4.6,24.6,59.1,49
12,0.9,7.4,26.4,53.1,81
13,2.2,15.2,27.3,46.4,178
14,2.8,16.7,28.4,40.4,223
15,2.9,17,30.8,37.1,290
16,2.9,18,34.2,30.7,274
17,3,16.1,37,26.5,278
18,2.5,13.4,36.6,27.8,152
19,2.3,14,36.9,26.9,118
20,2.1,13.4,39.3,22.2,141
21,1.9,10.4,38.5,22.4,131
22,2.3,12.7,39.7,20.4,171
23,4.2,24.5,38.8,24.2,287
0,4.9,27.8,33.5,38,267
1,4.9,23.3,34,32.9,280
2,3.5,17.6,31.9,33.7,224
3,2.5,14.5,30.2,37.6,137
4,2.5,14.4,28.9,41,118
5,2.6,14.2,27.8,45.2,128
6,2.3,12.9,27.1,47.4,111
7,1.5,9.9,26.2,49.4,66
8,0.9,5.1,26.9,49.3,36
9,0.6,2.8,26.3,50.8,-200
10,0.6,3.2,24.9,54.6,31
11,0.8,5.4,23.4,58.6,75
12,0.9,6.4,24.4,55.2,66
13,2.4,17.1,25.1,54.3,154
14,3.9,22.3,26.6,51.2,239
15,2.9,14.6,28.2,47.1,246
16,2.7,13.3,31.6,39.4,261
17,2,10.5,34.2,31.8,179
18,2.4,14.2,36.6,27.1,159
19,2,12.2,37.6,26.9,111
20,1.8,10.1,38.1,26.3,101
21,1.9,11.7,37.8,26.9,118
22,1.8,10.9,37.8,22.7,120
23,2.9,17.3,36.9,24.7,177
0,3.3,18,34.5,28.5,186
1,4.4,22.9,32.5,30.9,235
2,3.4,16.5,30.9,30.4,195
3,1.9,10.2,28.7,34.7,106
4,2.1,11.6,27.7,39.3,107
5,2.5,14.3,26.8,45.1,134
6,2.3,13.3,26.1,45.3,117
7,1.7,10,25.9,46.1,83
8,1.5,7.6,25.3,47.6,77
9,0.8,3.4,26.6,43,-200
10,-200,3.3,25.3,47.2,37
11,0.5,2.9,25.1,48,50
12,0.8,5.6,24.8,50.6,60
13,2.6,17.5,25.7,49.7,179
14,4.9,29,27.4,45.5,300
15,2.9,17,29.3,40,263
16,2.8,15.6,33.6,28.7,265
17,1.8,10.1,34.6,27.7,164
18,1.8,11.7,35.6,27.2,122
19,1.9,12,36.9,23.3,125
20,1.7,11,38.8,20.7,125
21,1.7,11.2,38.1,22.6,115
22,1.9,10.5,37.1,23,162
23,2.1,11.8,34.8,19.3,149
0,2.4,13.8,33.6,20.7,161
1,3,17.3,31.4,18.5,201
2,2.8,14.2,29.5,23.8,209
3,1.9,10.7,27.4,27.1,133
4,2.1,12.7,26.1,31.1,133
5,1.8,10.1,25.5,34,134
6,2.5,13.1,24,37.8,164
7,1.1,7.4,24.2,37.3,72
8,0.7,4.6,23.4,40.6,50
9,0.7,4.7,21.8,46.6,-200
10,0.4,2.8,22.6,43,27
11,0.7,4.5,20.2,50.7,74
12,0.7,5.9,20.5,49.3,69
13,1.8,11.1,21.4,48,162
